ISIN,name,country,dscode
BE0003807246,PICANOL NV,BE,932543
BE0003808251,EXMAR NV,BE,27189U
BE0003809267,IMMO ZENOBE GRAMME NV,BE,28193C
BE0003810273,PROXIMUS SA,BE,27597M
BE0003816338,EURONAV NV,BE,29848W
BE0003817344,CMB,BE,929356
BE0003819365,CUMERIO,BE,30812C
BE0003820371,EVS BROADCAST EQU.SA,BE,685755
BE0003821387,DEVGEN NV,BE,31174F
BE0003822393,ELIA GROUP SA,BE,31250R
BE0003823409,TUBIZE FINANCIERE SA,BE,932407
BE0003824415,PROXIMEDIA,BE,31347H
BE0003825420,CAMPINE SA,BE,540011
BE0003826436,TELENET GROUP HOLDING NV,BE,32011D
BE0003827442,ZETES INDUSTRIES,BE,32363J
BE0003829463,REIBEL BELGIUM,BE,32357U
BE0003832491,NEWTREE SA,BE,32527D
BE0003834513,OPTION TRADING COMPANY,BE,35984T
BE0003836534,CRESCENT NV,BE,27399U
BE0003837540,ATENOR,BE,932382
BE0003839561,VAN DE VELDE,BE,892877
BE0003840577,EVADIX SA,BE,36119T
BE0003844611,MDXHEALTH SA,BE,36179X
BE0003845626,CIE.NALE.A PTF.,BE,932401
BE0003846632,OXURION NV,BE,36232R
BE0003847648,U&I LEARNING,BE,410202
BE0003851681,AEDIFICA,BE,41293M
BE0003853703,MONTEA COMM VA,BE,41267M
BE0003854719,PORTHUS NV,BE,41311N
BE0003855724,PUNCH TELEMATIX NV,BE,41436U
BE0003858751,JENSEN-GROUP NV,BE,892046
BE0003859767,METRIS NV,BE,41474X
BE0003864817,TIGENIX NV,BE,50325E
BE0003867844,KBC ANCORA BV,BE,258619
BE0003868859,ALFACAM GROUP NV,BE,50559R
BE0003869865,TRANSICS INTL.,BE,50673F
BE0003870871,BANIMMO,BE,50728H
BE0003871887,ECODIS NV,BE,50643R
BE0003873909,HENEX,BE,916650
BE0003874915,FAGRON,BE,51129T
BE0003877942,ABLYNX,BE,51218U
BE0003878957,VGP,BE,51383M
BE0003880979,KEYWARE TECHS.NV,BE,27481N
BE0003882025,VISION IT GROUP (D),BE,51452D
BE0003883031,AANNEMINGSMAATSCHAPPIJ,BE,929336
BE0003893139,IMMO MOURY (D),BE,53614K
BE0003898187,SIPEF SA,BE,932404
BE0003899193,REALDOLMEN SA,BE,885888
BE0036416411,SUN INTL.,BE,505020
BE0045646560,EPIQ NV,BE,27884L
BE0109336173,AS.CHAUSSEE DE LA HULPE,BE,885371
BE0132053365,ICOS VISION SYS.CORP.,BE,27268V
BE0160220738,INNOGENETICS NV,BE,26624K
BE0160342011,COIL NV,FR,866707
BE0161426185,ARTWORK SYSTEMS GROUP NV,BE,27763E
BE0165385973,MELEXIS NV,BE,25544L
BE0946620946,RENTABILIWEB GROUP,BE,414632
BE0974256852,COLRUYT,BE,950997
BE0974258874,BEKAERT SA,BE,932532
BE0974259880,D IETEREN NV,BE,932706
BE0974260896,CELYAD ONCOLOGY,BE,89416U
BE0974263924,SC.FINC.ET DE GEST.TEXAF,BE,932408
BE0974264930,AGEAS SA,BE,929303
BE0974265945,FLUXYS BELGIUM NV,BE,866714
BE0974268972,BPOST SA,BE,89258K
BE0974271034,VIOHALCO SA,BE,93086K
BE0974272040,QRF COMM VA,BE,93763K
BE0974274061,KINEPOLIS GROUP,BE,673493
BE0974275076,2VALORISE NV,BE,53546D
BE0974276082,ONTEX GROUP,BE,8912HP
BE0974278104,ABO-GROUP ENVIRONMENT NV,BE,53986K
BE0974280126,BONE THERAPEUTIC,BE,9293V2
BE0974281132,BIOCARTIS,BE,9447EW
BE0974282148,TINC,BE,94630F
BE0974283153,MITHRA SA,BE,9662ZR
BE0974288202,XIOR STUDENT HOUSING,BE,8746A0
BE0974289218,ASIT AIW,BE,7291Z7
BE0974290224,DEXIA,BE,885000
BE0974293251,ANHEUSER-BUSCH INBEV SA,BE,289504
BE0974294267,NYRSTAR NV,BE,51218T
BE0974300320,ECKERT-ZIEGLER BG,BE,885501
BE0974302342,PHARMASIMPLE SA,FR,2727PY
BE0974303357,CENERGY HOLDINGS,BE,2753M6
BE0974310428,X-FAB,FR,9055ZH
BE0974311434,ZENITEL SA,BE,932515
BE0974313455,ECONOCOM GROUP SE,BE,729463
BE0974314461,BALTA GROUP WI,BE,9103Y2
BE0974320526,UMICORE SA,BE,929345
BE0974323553,SMARTPHOTO GROUP SA,BE,755353
BE0974334667,AUDIOVALLEY SA,FR,9318FC
BE0974349814,WAREHOUSES DE PAUW NV,BE,672654
BE0974352842,HAMON & CIE (INTL.) SA,BE,892030
BE0974362940,BARCO NV,BE,729569
CH0000491206,TFS,FR,673339
CH0008853209,AGTA RECORD,FR,673879
CH0308403085,GENEURO,FR,7080EZ
CM0000035113,STE ANYME.DES BRAS.DU,FR,997815
CWN814651014,MOREFIELD GROUP,NL,999423
CY0104972217,PRIMECITY INV.PLC.,FR,9166RF
FR0000030017,AIR FRANCE EUROPE,FR,729878
FR0000030066,BQ.TRANSATLANTIQUE,FR,936574
FR0000030074,MALTERIES F-BELGES,FR,936724
FR0000030124,PAUL PREDAULT SA,FR,504821
FR0000030140,SOC FR GEST.INVESTI.SA,FR,998071
FR0000030181,FONCIERE DVPPT.LOGEMENTS,FR,776580
FR0000030231,GENERALE FRANCE,FR,929259
FR0000030488,SAFIC ALCAN,FR,936789
FR0000030595,ILE DE FRANCE PHARMAC,FR,505288
FR0000030611,GALIMMO SCA,FR,997953
FR0000030678,SALINS DU MIDI,FR,929369
FR0000030827,IGE + XAO SA,FR,885500
FR0000030942,ATN,FR,885499
FR0000031023,ELECTRICITE STRASBOURG,FR,929290
FR0000031056,CENTENAIRE-BLANZY,FR,997830
FR0000031106,TROC DE L'ILE,FR,885047
FR0000031122,AIR FRANCE-KLM,FR,929286
FR0000031171,OXYGENE EO.,FR,997560
FR0000031197,EXXON MOBIL CHEMICAL,FR,142523
FR0000031213,CONFLANDEY SA,FR,776514
FR0000031312,HUREL DUBOIS,FR,504836
FR0000031320,DAKAR SAINT-LOUIS,FR,772605
FR0000031353,PETIT BATEAU,FR,929798
FR0000031536,ROYAL CANIN,FR,885538
FR0000031551,NORCAN,FR,885550
FR0000031569,MARIE BRIZARD,FR,905529
FR0000031577,VIRBAC,FR,772692
FR0000031684,ROTHSCHILD & CO,FR,936799
FR0000031734,ELYO(EX-UFINER-COFRETH),FR,936850
FR0000031767,ROULEAU GUICHARD,FR,916166
FR0000031775,VICAT SA,FR,997836
FR0000031809,DEVANLAY,FR,916395
FR0000031973,FAYENCERI SARREGUEMIN,FR,936808
FR0000032195,DELACHAUX,FR,772311
FR0000032252,DEVILLE,FR,702529
FR0000032278,LATECOERE,FR,702574
FR0000032294,CARDIF,FR,702653
FR0000032302,MANUTAN INTERNATIONAL SA,FR,702598
FR0000032344,BENEDICTINE,FR,729663
FR0000032393,EDITIONS BELFOND,FR,772613
FR0000032401,RAZEL FRERES,FR,772668
FR0000032468,EXPAND,FR,745155
FR0000032476,IMMOB.COMPLEXES COMMERC.,FR,701577
FR0000032492,SERVICES TRANSPORTS,FR,772675
FR0000032526,GUERBET,FR,741849
FR0000032567,SUPRA,FR,701882
FR0000032658,SYNERGIE SA,FR,936933
FR0000032922,GO SPORT,FR,741155
FR0000032930,GRAND LIVRE MOIS,FR,772625
FR0000033003,TOUAX SGTR CITE SGT CMTE,FR,776595
FR0000033060,BQ.VERNES ARTESIA,FR,772584
FR0000033086,CASCADES,FR,755307
FR0000033110,LOUVRE (STE DU),FR,936721
FR0000033136,FINAXA,FR,930413
FR0000033201,PNEUMATIQUES KLEBER,FR,923518
FR0000033219,ALTAREA,FR,772684
FR0000033243,IMMOBILIERE DASSAULT SA,FR,936965
FR0000033268,VIRAX,FR,936860
FR0000033318,SUCRIERE PITHIVIERS,FR,776576
FR0000033326,LOXXIA EX-LOCAMIC,FR,772640
FR0000033409,SOCIETE FONC.LYONNAISE,FR,929165
FR0000033441,SILEC,FR,936821
FR0000033565,AFE,FR,772575
FR0000033599,LEXIBOOK,FR,885562
FR0000033763,GEP GROUPE PASQUIER,FR,755058
FR0000033771,NISSAN FRANCE,FR,745175
FR0000033797,CET EX-IGF,FR,745296
FR0000033888,GEVELOT,FR,997566
FR0000033904,JACQUET METALS SA,FR,755190
FR0000033912,ONET,FR,755344
FR0000033946,CREDIT DE L'EST,FR,772602
FR0000033953,MARBEN,FR,755369
FR0000034316,SYNCHRONY LOGISTIQUE,FR,885576
FR0000034407,LAMBERT-RIVIERE,FR,504410
FR0000034415,PARFINANCE,FR,772304
FR0000034431,FONCIERE DE PARIS,FR,756334
FR0000034548,UNION FINC.FRANC.SA,FR,756230
FR0000034605,AIROX,FR,885606
FR0000034621,TLD GROUP,FR,936842
FR0000034639,ALTRAN TECHNOLOGIES,FR,756882
FR0000034662,UNILOG,FR,776566
FR0000034787,SIACO,FR,776563
FR0000034795,ROCANI,FR,756889
FR0000034811,SERIBO,FR,776562
FR0000034894,GAUMONT,FR,936669
FR0000034944,BD LEASE,FR,885660
FR0000035008,COFIGEO CIE.FINC.GEO SA,FR,936673
FR0000035040,COFIXEL,FR,981736
FR0000035123,FINATIS,FR,772639
FR0000035164,BENETEAU,FR,749880
FR0000035222,IDP,FR,885745
FR0000035263,LAFUMA,FR,885722
FR0000035305,BD MULTI MEDIA,FR,885742
FR0000035370,BASTIDE CONFORT MEDICAL,FR,885741
FR0000035404,CEDEST,FR,936603
FR0000035420,CROMETAL,FR,772604
FR0000035487,EUROMAN,FR,885743
FR0000035495,CREATIFS EXPOSITIONS,FR,885810
FR0000035511,FONCINA,FR,997896
FR0000035529,DAXEL,FR,885836
FR0000035560,CFC (FIN.CARDANS),FR,740565
FR0000035602,SAIRP COMPOSITES,FR,885838
FR0000035677,LCA FRANCE,FR,885848
FR0000035719,ELEEXD.MADAG.SA,FR,936865
FR0000035743,ETAM DEVELOPPEMENT,FR,885924
FR0000035750,ROUSSELET CENTRIFUGATION,FR,885893
FR0000035776,ENTRELEC GROUP,FR,885897
FR0000035784,EVERGREEN SA,FR,885909
FR0000035800,NETRA SYSTEMS,FR,885927
FR0000035818,ESKER SA,FR,885926
FR0000035883,ARBEL,FR,936555
FR0000035958,SOGEPARC,FR,776564
FR0000035974,HTL.LUTETIA-CONCORDE,FR,776525
FR0000036030,COMPT.LYON ALD.LOUYOT,FR,929214
FR0000036105,AFFINE R E,FR,936943
FR0000036113,DELMON INDUSTRIE,FR,885951
FR0000036121,CAVES ROQUEFORT,FR,929364
FR0000036162,CYBERNETIX,FR,885983
FR0000036196,GTI GL.TRAN.IND.,FR,936846
FR0000036220,SERP RECYCLAGE,FR,885954
FR0000036287,DUC,FR,892048
FR0000036295,CGF GALLET,FR,885995
FR0000036303,LUCIA,FR,930054
FR0000036410,LABORATOIRES CORNEAL,FR,885999
FR0000036428,REP,FR,892047
FR0000036436,DAUPHIN OTA,FR,945214
FR0000036451,PRIMISTERES REYNOIRD,FR,998038
FR0000036543,GENEFIM,FR,776589
FR0000036634,ALDETA,FR,892198
FR0000036642,NORD EST,FR,741672
FR0000036659,PLM,FR,929707
FR0000036667,OMNICOM,FR,892069
FR0000036675,GROUPE CRIT,FR,892199
FR0000036725,IMMOBILIERE BETELGEUSE,FR,936686
FR0000036774,DANE-ELEC MEMORY,FR,892259
FR0000036808,BNP INTERCONTINENTAL,FR,936572
FR0000036816,TOUR EIFFEL,FR,936843
FR0000036857,INTL.PLTNS.D HEVEAS,FR,936699
FR0000036865,MEUNERIE FSE.DE,FR,936739
FR0000036899,ORSAN,FR,936454
FR0000036923,AGACHE,FR,929197
FR0000036931,GENERAL RECYCLAGE SA,FR,892350
FR0000036949,BON MARCHE,FR,929184
FR0000036972,ECIA,FR,936470
FR0000036980,IMMOB.HOTELIERE,FR,776533
FR0000037046,MONTUPET,FR,729570
FR0000037079,CODETOUR,FR,772601
FR0000037202,TAITTINGER SA,FR,923848
FR0000037210,FONCIERE MASSENA,FR,912329
FR0000037269,LABORATOIRES DOLISOS,FR,504409
FR0000037301,GEL 2000,FR,946086
FR0000037384,NAVIGATION NALE.DE,FR,504137
FR0000037392,NERGECO,FR,892783
FR0000037400,NEWTECH INTERACTIVE,FR,892796
FR0000037475,CFI-COMPAGNIE FCRE.ILE.,FR,936627
FR0000037483,FONCIERE CIE.,FR,929218
FR0000037491,CENINVE,FR,997829
FR0000037509,SCAC-DELMAS-VJX.,FR,772656
FR0000037582,OCP,FR,951825
FR0000037624,FIDEI,FR,933182
FR0000037640,ROUGIER SA,FR,997561
FR0000037657,DYNELEC,FR,776489
FR0000037699,GTMH,FR,930029
FR0000037707,IMMOB.MARSEILLAISE,FR,997930
FR0000037749,VERMANDOISE DE SUCR.,FR,776598
FR0000037798,BERTIN & CIE,FR,309018
FR0000037822,CEE CONT.EQU.,FR,944947
FR0000037921,ORFEVRE CHRISTOFLE,FR,998030
FR0000037947,FIMALAC,FR,936720
FR0000037970,MUSEE GREVIN,FR,776573
FR0000037988,LOCAFINANCIERE,FR,993136
FR0000038036,GRAND MARNIER,FR,951473
FR0000038069,L'ENTREPRISE INDUST.,FR,309133
FR0000038101,LA BROSSE DUPONT,FR,776569
FR0000038176,PRODEF SA,FR,776592
FR0000038200,EUROSIC EX,FR,772619
FR0000038242,LUMIBIRD SA,FR,892200
FR0000038259,EUROFINS SCIENTIFIC AG,FR,892981
FR0000038283,GEODIS SA,FR,772310
FR0000038291,SAV.FRA.EX-OPA,FR,892982
FR0000038358,GROUPE PANTIN,FR,776522
FR0000038374,AGRICOLE POINT A PITRE,FR,749875
FR0000038390,EAUX BASSIN VICHY,FR,936638
FR0000038465,PASSAT,FR,892987
FR0000038473,GUITEL,FR,936680
FR0000038499,FONCIERE EURIS SA,FR,997950
FR0000038515,SYLIS,FR,892986
FR0000038531,HF COMPANY,FR,865634
FR0000038549,ENGRENAGES RDC.MESSIAN,FR,936641
FR0000038572,MONOPRIX,FR,936856
FR0000038606,MANITOU,FR,772644
FR0000038747,JACQUET METALS,FR,892797
FR0000038770,DUCROS SER.RAPID,FR,776529
FR0000038804,SOFIBUS PATRIMOINE,FR,772681
FR0000038887,BRIT AIR,FR,879997
FR0000038895,GERARD PASQUIER,FR,922510
FR0000038937,CIE.FINC.ST.HONORE,FR,890386
FR0000039026,EXPLOS.ET PRDS.CHIM.N,FR,936964
FR0000039034,NICOMATIC,FR,890390
FR0000039059,CFF RECYCLING,FR,936649
FR0000039075,FININFO,FR,776518
FR0000039091,ROBERTET SA,FR,905893
FR0000039109,SECHE ENVIRONNEMENT,FR,890413
FR0000039133,PALUEL-MARMONT,FR,998037
FR0000039182,COMPUTEL,FR,776512
FR0000039216,ALTAREIT,FR,936966
FR0000039224,CYRANO,FR,890496
FR0000039232,AUREA SA,FR,936560
FR0000039240,TOUPARGEL GROUPE,FR,892805
FR0000039299,BOLLORE SE,FR,997966
FR0000039307,ETEX,FR,929175
FR0000039356,CROQ 'O' PAIN,FR,890857
FR0000039539,TEISSEIRE-FRANCE,FR,999542
FR0000039547,AB SOFT,FR,890713
FR0000039588,MB ELECTRONIQUE,FR,912916
FR0000039612,BANQUE REUNION,FR,755549
FR0000039620,MERSEN (EX LCL),FR,936590
FR0000039695,POCHET SA,FR,912640
FR0000039760,WAELES SA,FR,504141
FR0000039778,EUREXIA,FR,895678
FR0000039786,ETOILE COMIT.,FR,776530
FR0000039844,AES LABORATOIRES GPE,FR,673165
FR0000044414,NEXO SA,FR,259152
FR0000044422,CARRERE GROUP,FR,259207
FR0000044448,NEXANS SA,FR,259181
FR0000044471,RAMSAY GEN SANTE,FR,259250
FR0000044489,SETFORGE,FR,259324
FR0000044497,SAM,FR,259323
FR0000044513,NOMATICA,FR,259267
FR0000044521,DOMATEAM AUD,FR,259170
FR0000044547,CRCAM AQUITAINE,FR,259326
FR0000044554,BEGHIN-SAY,FR,259355
FR0000044562,CEREOL,FR,259360
FR0000044588,PROVIMI SA,FR,259364
FR0000044612,AFONE PARTICIPATIONS SA,FR,259260
FR0000044679,THE MARKETINGROUP SA,FR,14867P
FR0000044745,EVERSET,FR,259436
FR0000044885,IDEOM,FR,14652X
FR0000044901,INTERCALL,FR,692702
FR0000044943,LOGIC INSTRUMENT SA,FR,258061
FR0000045023,GINGER SA,FR,14767D
FR0000045072,CREDIT AGRICOLE SA,FR,14866R
FR0000045163,CREDIT AGRICOLE BRIE,FR,504504
FR0000045189,CREDIT AGRICOLE SOMME,FR,539983
FR0000045213,CRCAM ILLE-VIL.CCI,FR,307769
FR0000045221,CR.AGR.HAUTE NORM.,FR,307774
FR0000045254,CREDIT AGRICOLE OISE,FR,307657
FR0000045262,CREDIT AGR.MIDI (3EME),FR,504417
FR0000045296,CREDIT AGR.CENTRE LOIRE,FR,881621
FR0000045304,CAI.REG CRED AGRIC MUT,FR,309103
FR0000045528,CARDE.CAMU.DE PA.EIFR.,FR,776516
FR0000045544,CREDIT AGRICOLE TOULOUSE,FR,539984
FR0000045551,CR.AGRICOLE MORBIHAN,FR,539980
FR0000050049,VIEL ET CIE,FR,779361
FR0000050072,INTV.& FIN.INVESTI.,FR,776534
FR0000050122,TITUS INTERACTIVE,FR,868576
FR0000050197,PETITJEAN INDS.,FR,504822
FR0000050205,IDIANOVA PARTICIPATIONS,FR,504343
FR0000050221,IMMEUBLES PLAINE MONCEAU,FR,936689
FR0000050254,MECADYNE,FR,776572
FR0000050288,GPRI,FR,504501
FR0000050304,SOGERIS,FR,504468
FR0000050320,RADIALL SA,FR,504512
FR0000050353,LISI,FR,504524
FR0000050395,CROSSWOOD,FR,504660
FR0000050445,SPORTFIVE,FR,868577
FR0000050452,ASSCE.BQ.POPULAIRE,FR,504917
FR0000050460,DAL'ALU,FR,868696
FR0000050510,GRAVOGRAPH,FR,504962
FR0000050544,TECHNOMED INTL.,FR,505016
FR0000050551,CFPI,FR,505046
FR0000050569,FAROS,FR,885027
FR0000050593,BIOPAT,FR,505336
FR0000050619,EURO.DE DS.ET DE PESAGE,FR,505045
FR0000050643,PIER IMPORT EUROPE,FR,505112
FR0000050684,BELLE JARDINIERE,FR,701928
FR0000050742,FRANKOPARIS,FR,504763
FR0000050809,SOPRA STERIA GROUP,FR,505319
FR0000050817,LOUIS DREYFUS CITRUS,FR,885003
FR0000050882,IPBM,FR,505390
FR0000050908,FICHET-BAUCHE,FR,923301
FR0000050916,SILIC,FR,930145
FR0000050932,FINANCIERE NATEXIS,FR,505532
FR0000050957,BUT SA,FR,505547
FR0000050965,UNIDEV,FR,505548
FR0000051047,METAL DEPLOYE,FR,997967
FR0000051070,MAUREL ET PROM,FR,505969
FR0000051153,TROUVAY ET CAUVIN,FR,539633
FR0000051187,GAUTIER FRANCE,FR,539671
FR0000051351,VULCANIC,FR,307022
FR0000051401,INTERNATIONAL COMPUTER,FR,307120
FR0000051534,PARIS EXPO,FR,142585
FR0000051674,GRANDE PAROISSE,FR,936678
FR0000051682,SEAE,FR,307490
FR0000051724,VEV,FR,929196
FR0000051732,ATOS,FR,740622
FR0000051757,EUROMARCHE,FR,951915
FR0000051807,TELEPERFORMANCE,FR,936782
FR0000051898,ELECTRO BANQUE,FR,776515
FR0000051948,CASE POCLAIN,FR,923255
FR0000051955,SOPAGRI,FR,997897
FR0000052003,HOTELS DEAUVILLE,FR,936682
FR0000052037,CONFORAMA R,FR,755798
FR0000052193,FONCIA GROUPE,FR,258623
FR0000052243,NAF-NAF,FR,309064
FR0000052292,HERMES INTERNATIONAL,FR,309037
FR0000052359,ASTORG,FR,936770
FR0000052367,PARTHENA INVESTISSEMENT,FR,729873
FR0000052433,ICBT GROUPE,FR,309363
FR0000052490,VALORUM,FR,142516
FR0000052516,VILMORIN ET CIE,FR,309810
FR0000052532,VINIPRIX,FR,929359
FR0000052565,FINABAIL,FR,309706
FR0000052623,DEDALUS FRANCE SA,FR,756231
FR0000052680,OENEO,FR,142666
FR0000052763,MEDIASCIENCE,FR,142307
FR0000052797,CREANET,FR,142560
FR0000052839,DOM SECURITY SA,FR,142425
FR0000052847,MONTAIGNE DIRECT,FR,142484
FR0000052854,SYSTAR,FR,142642
FR0000052862,SEDIVER,FR,142444
FR0000052870,XPO LOGISTICS,FR,142650
FR0000052896,PARIS.DE CHAUFFAGE,FR,929243
FR0000052904,KINDY SA,FR,142435
FR0000052920,DYNAFOND,FR,142750
FR0000052946,CIDER SANTE SA,FR,142460
FR0000052961,CHARLATTE,FR,142452
FR0000052979,GRANDVISION,FR,142511
FR0000052987,SEXTANT AVIONIQUE,FR,916057
FR0000052995,SYLEA,FR,142693
FR0000053027,AKWEL SA,FR,142677
FR0000053035,GEA GREN.ELECTQ.,FR,142673
FR0000053043,ADVINI,FR,142841
FR0000053076,ADA SA,FR,142806
FR0000053092,GROUPE DECAN,FR,142902
FR0000053100,GROUPE VALFOND,FR,143481
FR0000053134,OPTORG,FR,936753
FR0000053142,FAIVELEY TRANSPORT,FR,143061
FR0000053175,PETIT BOY,FR,143121
FR0000053191,MOSSLEY BADIN,FR,143215
FR0000053209,FINC.ET FONC.EUROBAIL,FR,992760
FR0000053225,M6-METROPOLE TV,FR,143198
FR0000053233,INFOPOINT,FR,143186
FR0000053274,AIGLE,FR,143240
FR0000053282,FACTOREM,FR,143239
FR0000053324,COMPAGNIE DES ALPES,FR,143369
FR0000053340,RIGHINI,FR,143325
FR0000053381,DERICHEBOURG,FR,143409
FR0000053399,CNIM GROUPE SA,FR,143554
FR0000053415,GRANDE ARMEE INVESTI.,FR,881482
FR0000053423,MECATHERM,FR,143416
FR0000053449,GROUPE DIFFUSION +,FR,143503
FR0000053456,SOCIETE FINC.DE COMM.ET,FR,866209
FR0000053480,APEM,FR,143642
FR0000053506,CEGEDIM,FR,143693
FR0000053514,PCAS,FR,143673
FR0000053589,ASSYSTEM,FR,143789
FR0000053597,NOMAI,FR,143795
FR0000053605,LOCAFRANCE,FR,929207
FR0000053639,FRAIKIN,FR,143985
FR0000053647,DU PAREIL MEME,FR,135485
FR0000053670,INFO REALITE,FR,135486
FR0000053720,IDEAL MEDICAL PRODUCTS,FR,881484
FR0000053803,INFRA PLUS,FR,866094
FR0000053837,ALTAMIR,FR,866185
FR0000053944,FONCIERE VOLTA,FR,866280
